"","Distance","Rsquare","Number"
"1",10,0.325766293433694,208
"2",20,0.236872619938551,179
"3",30,0.170026835438835,165
"4",40,0.18312835773982,128
"5",50,0.214835337910607,134
"6",60,0.152766266139546,123
"7",70,0.187672443430441,125
"8",80,0.168336617114113,134
"9",90,0.13440906471159,118
"10",100,0.148865318260467,108
"11",200,0.132870256151014,1040
"12",300,0.119188331963265,809
"13",400,0.100681799370488,681
"14",500,0.11769243311369,610
"15",600,0.0934785108650425,505
"16",700,0.100743210002557,430
"17",800,0.105467643883019,378
"18",900,0.100638588638729,331
"19",1000,0.0869090953820003,273
"20",1100,0.106628302403477,250
"21",1200,0.0838832693226833,221
"22",1300,0.0839140663643343,203
"23",1400,0.0847188817023255,198
"24",1500,0.081965436926816,173
"25",1600,0.105957084486083,148
"26",1700,0.0716137031395686,148
"27",1800,0.0962470152162473,124
"28",1900,0.0607505028548238,93
"29",2000,0.0878184887288052,111
"30",2100,0.0854445033061465,77
"31",2200,0.0742038372070703,86
"32",2300,0.0524452603947912,63
"33",2400,0.110989404135459,75
"34",2686.5,0.0800454055481788,162
"35",2886.5,0.0824697921736987,123
"36",3086.5,0.0803975930344639,90
"37",3286.5,0.0923403928322138,75
"38",3815.33333333333,0.0767371154421972,153
"39",4315.33333333333,0.0767953887335581,122
"40",4815.33333333333,0.053988573764977,65
"41",5973,0.063009482562088,113
"42",6973,0.0753403740204263,67
"43",7973,0.0791511470758158,50
"44",8973,0.057398551733994,33
